date,open,high,low,close,volume
2025-11-26 09:30:00-05:00,181.6300048828125,181.85989379882812,180.91000366210938,181.85989379882812,10444613
2025-11-26 09:31:00-05:00,181.85699462890625,182.44000244140625,181.44000244140625,181.8699951171875,1632095
2025-11-26 09:32:00-05:00,181.9080047607422,182.6999969482422,181.7100067138672,182.66000366210938,1103305
2025-11-26 09:33:00-05:00,182.67999267578125,182.91000366210938,182.11000061035156,182.3699951171875,1157974
2025-11-26 09:34:00-05:00,182.3563995361328,182.38999938964844,181.8520050048828,182.08999633789062,826553
2025-11-26 09:35:00-05:00,182.08949279785156,182.7100067138672,182.00999450683594,182.68499755859375,801088
2025-11-26 09:36:00-05:00,182.6999969482422,182.72000122070312,182.27499389648438,182.54469299316406,767009
2025-11-26 09:37:00-05:00,182.53500366210938,182.6300048828125,181.81500244140625,181.81500244140625,866668
2025-11-26 09:38:00-05:00,181.83999633789062,181.83999633789062,181.25,181.37010192871094,1048838
2025-11-26 09:39:00-05:00,181.3699951171875,181.7100067138672,181.1199951171875,181.4499969482422,741978
2025-11-26 09:40:00-05:00,181.4550018310547,181.61000061035156,180.7100067138672,181.00999450683594,905924
2025-11-26 09:41:00-05:00,181.00999450683594,181.24000549316406,180.67999267578125,181.2100067138672,609206
2025-11-26 09:42:00-05:00,181.22149658203125,181.27000427246094,180.55999755859375,180.82000732421875,607865
2025-11-26 09:43:00-05:00,180.80999755859375,181.07000732421875,180.52000427246094,180.69500732421875,553270
2025-11-26 09:44:00-05:00,180.69000244140625,181.406494140625,180.67999267578125,181.38999938964844,624950
2025-11-26 09:45:00-05:00,181.3800048828125,181.9499969482422,180.97000122070312,181.0135040283203,884836
2025-11-26 09:46:00-05:00,181.0106964111328,181.02999877929688,180.5,180.50999450683594,623819
2025-11-26 09:47:00-05:00,180.52000427246094,181.0800018310547,180.47999572753906,180.6999969482422,525137
2025-11-26 09:48:00-05:00,180.7100067138672,180.77999877929688,180.19000244140625,180.32009887695312,595346
2025-11-26 09:49:00-05:00,180.32000732421875,180.79010009765625,180.27000427246094,180.79010009765625,473715
2025-11-26 09:50:00-05:00,180.7949981689453,180.8199005126953,180.3300018310547,180.5570068359375,466888
2025-11-26 09:51:00-05:00,180.60000610351562,180.9199981689453,180.5399932861328,180.67999267578125,453737
2025-11-26 09:52:00-05:00,180.69500732421875,180.72999572753906,180.27499389648438,180.3199005126953,463364
2025-11-26 09:53:00-05:00,180.3000030517578,180.44000244140625,180.00999450683594,180.25999450683594,587481
2025-11-26 09:54:00-05:00,180.25,180.26010131835938,179.92999267578125,179.9550018310547,700977
2025-11-26 09:55:00-05:00,179.97000122070312,179.97500610351562,179.3699951171875,179.57000732421875,869147
2025-11-26 09:56:00-05:00,179.5500030517578,179.6300048828125,179.19000244140625,179.28500366210938,602852
2025-11-26 09:57:00-05:00,179.27999877929688,179.58999633789062,179.2100067138672,179.50999450683594,485507
2025-11-26 09:58:00-05:00,179.50999450683594,179.54989624023438,178.8300018310547,178.8466033935547,625473
2025-11-26 09:59:00-05:00,178.84829711914062,178.8509979248047,178.41000366210938,178.72999572753906,1000078
2025-11-26 10:00:00-05:00,178.6999969482422,178.6999969482422,178.24000549316406,178.63009643554688,761942
2025-11-26 10:01:00-05:00,178.63999938964844,179.22000122070312,178.63999938964844,179.07569885253906,850607
2025-11-26 10:02:00-05:00,179.07989501953125,179.47000122070312,179.0,179.27000427246094,669314
2025-11-26 10:03:00-05:00,179.25,179.66000366210938,179.22000122070312,179.41000366210938,652133
2025-11-26 10:04:00-05:00,179.4001007080078,179.5236053466797,179.17999267578125,179.46499633789062,453699
2025-11-26 10:05:00-05:00,179.46170043945312,179.5299072265625,179.0782012939453,179.0800018310547,490681
